,sna,tot,sbi,sarea,mday,ar,bemp,act
283,YouBike2.0_泰北高中,16,0,士林區,2023-06-03 17:08:04,福林路240號(前),16,1
284,YouBike2.0_後港公園,15,5,士林區,2023-06-03 17:01:06,通河東街二段26號(旁公園),10,1
285,YouBike2.0_重慶北路四段117號,18,1,士林區,2023-06-03 17:12:15,重慶北路四段117號(前),17,1
286,YouBike2.0_社子島島頭公園,15,0,士林區,2023-06-03 17:12:15,延平北路九段323號(後方堤外),15,1
288,YouBike2.0_坤天亭,14,5,士林區,2023-06-03 17:04:16,延平北路八段96巷15號(前),9,1
289,YouBike2.0_社子島濕地解說小築,15,3,士林區,2023-06-03 17:07:16,社子島濕地解說小築,12,1
290,YouBike2.0_福安國中,11,4,士林區,2023-06-03 07:53:14,延平北路七段250號(前),6,1
292,YouBike2.0_聖山綠地,15,0,士林區,2023-06-03 17:13:05,忠義街94號(旁),15,1
297,YouBike2.0_福林公園(中正路),27,0,士林區,2023-06-03 17:13:05,中正路/志成街口(南側),27,1
299,YouBike2.0_市立圖書館葫蘆堵分館,13,4,士林區,2023-06-03 16:59:14,延平北路五段136巷1號前,9,1
300,YouBike2.0_東山路110巷口,16,4,士林區,2023-06-03 17:07:16,東山路114號對側,12,1
302,YouBike2.0_雨農橋,16,1,士林區,2023-06-03 17:08:15,福志路14巷42號(對面),15,1
303,YouBike2.0_通河街76巷/承德路四段10巷口,14,2,士林區,2023-06-03 17:13:15,承德路四段10巷37號(旁),12,1
304,YouBike2.0_芝山聖佑宮,15,4,士林區,2023-06-03 17:13:15,雨聲街90號旁,11,1
305,YouBike2.0_至誠雨聲街口,9,2,士林區,2023-06-03 17:08:15,至誠路二段與雨聲街口東北側,7,1
306,YouBike2.0_捷運線型公園(後街),13,1,士林區,2023-06-03 17:05:15,後街15號旁,12,1
307,YouBike2.0_天母公園,12,2,士林區,2023-06-03 17:01:06,中山北路七段141巷30號對側,10,1
309,YouBike2.0_文林福華路口,19,0,士林區,2023-06-03 16:48:04,文林路 / 福華路口(東側),19,1
313,YouBike2.0_德行東山路口,12,2,士林區,2023-06-03 17:05:15,德行東路/東山路(西北側),10,1
314,YouBike2.0_重慶北通河西街口,12,0,士林區,2023-06-03 14:39:04,重慶北路四段276號(前),12,1
315,YouBike2.0_葫蘆國小(延平北路五段285巷),15,0,士林區,2023-06-03 17:05:04,環河北路三段/延平北路五段285巷,15,1
317,YouBike2.0_士林區農會社子分部,8,0,士林區,2023-06-03 17:03:04,社子街162號旁,8,1
318,YouBike2.0_承德劍潭路口,19,1,士林區,2023-06-03 17:13:15,承德路四段與劍潭路口西側,18,1
